milestone_id,study_id,milestone_type,planned_date,actual_date,status,variance_days
MS-CT-2023-0001-001,CT-2023-0001,Protocol Approved,2025-08-01,2025-08-03,Completed,2
MS-CT-2023-0001-002,CT-2023-0001,First IRB/EC Approval,2025-09-11,2025-09-17,Completed,6
MS-CT-2023-0001-003,CT-2023-0001,First Site Activated,2025-12-06,2025-10-28,Completed,-39
MS-CT-2023-0001-004,CT-2023-0001,First Patient In,2025-12-18,2025-10-01,Completed,-78
MS-CT-2023-0001-005,CT-2023-0001,25% Enrollment,2026-07-18,2026-01-04,Completed,-195
MS-CT-2023-0001-006,CT-2023-0001,50% Enrollment,2027-02-18,2026-03-27,Completed,-328
MS-CT-2023-0001-007,CT-2023-0001,Last Patient In,2027-08-27,,Pending,
MS-CT-2023-0001-008,CT-2023-0001,Database Lock,2028-08-04,,Pending,
MS-CT-2023-0001-009,CT-2023-0001,Last Patient Out,2028-09-05,,Pending,
MS-CT-2023-0001-010,CT-2023-0001,Clinical Study Report Finalized,2028-10-27,,Pending,
MS-CT-2023-0002-011,CT-2023-0002,Protocol Approved,2025-01-29,2025-02-14,Completed,16
MS-CT-2023-0002-012,CT-2023-0002,First IRB/EC Approval,2025-04-01,2025-03-25,Completed,-7
MS-CT-2023-0002-013,CT-2023-0002,First Site Activated,2025-06-30,2025-05-27,Completed,-34
MS-CT-2023-0002-014,CT-2023-0002,First Patient In,2025-08-09,2025-06-01,Completed,-69
MS-CT-2023-0002-015,CT-2023-0002,25% Enrollment,2026-02-09,2025-10-17,Completed,-115
MS-CT-2023-0002-016,CT-2023-0002,50% Enrollment,2026-09-09,2026-02-12,Completed,-209
MS-CT-2023-0002-017,CT-2023-0002,Last Patient In,2027-04-03,,Pending,
MS-CT-2023-0002-018,CT-2023-0002,Database Lock,2028-01-16,,Pending,
MS-CT-2023-0002-019,CT-2023-0002,Last Patient Out,2028-02-22,,Pending,
MS-CT-2023-0002-020,CT-2023-0002,Clinical Study Report Finalized,2028-06-01,,Pending,
MS-CT-2023-0003-021,CT-2023-0003,Protocol Approved,2024-05-29,2024-06-09,Completed,11
MS-CT-2023-0003-022,CT-2023-0003,First IRB/EC Approval,2024-07-29,2024-07-30,Completed,1
MS-CT-2023-0003-023,CT-2023-0003,First Site Activated,2024-10-31,2024-09-04,Completed,-57
MS-CT-2023-0003-024,CT-2023-0003,First Patient In,2024-11-28,2024-09-01,Completed,-88
MS-CT-2023-0003-025,CT-2023-0003,25% Enrollment,2025-07-28,2025-04-22,Completed,-97
MS-CT-2023-0003-026,CT-2023-0003,50% Enrollment,2026-03-28,2025-11-09,Completed,-139
MS-CT-2023-0003-027,CT-2023-0003,Last Patient In,2027-01-19,2026-07-01,Completed,-202
MS-CT-2023-0003-028,CT-2023-0003,Database Lock,2027-12-24,,Pending,
MS-CT-2023-0003-029,CT-2023-0003,Last Patient Out,2028-01-21,,Pending,
MS-CT-2023-0003-030,CT-2023-0003,Clinical Study Report Finalized,2028-03-23,,Pending,
