study_id,site_id,month,patients_screened,patients_enrolled,screen_failures,cumulative_enrolled
CT-2023-0001,SITE-00001,2026-01-01,2,1,1,1
CT-2023-0001,SITE-00001,2026-02-01,1,0,1,1
CT-2023-0001,SITE-00001,2026-03-01,5,2,3,3
CT-2023-0001,SITE-00001,2026-04-01,3,3,0,6
CT-2023-0001,SITE-00001,2026-05-01,1,1,0,7
CT-2023-0001,SITE-00001,2026-06-01,2,2,0,9
CT-2023-0001,SITE-00001,2026-07-01,6,2,4,11
CT-2023-0001,SITE-00002,2025-12-01,1,1,0,1
CT-2023-0001,SITE-00002,2026-01-01,4,3,1,4
CT-2023-0001,SITE-00002,2026-02-01,2,1,1,5
CT-2023-0001,SITE-00002,2026-03-01,2,1,1,6
CT-2023-0001,SITE-00002,2026-04-01,3,2,1,8
CT-2023-0001,SITE-00002,2026-05-01,1,0,1,8
CT-2023-0001,SITE-00002,2026-06-01,1,1,0,9
CT-2023-0001,SITE-00003,2025-10-01,1,1,0,1
CT-2023-0001,SITE-00003,2025-11-01,1,1,0,2
CT-2023-0001,SITE-00003,2025-12-01,3,3,0,5
CT-2023-0001,SITE-00003,2026-01-01,3,2,1,7
CT-2023-0001,SITE-00003,2026-02-01,2,2,0,9
CT-2023-0001,SITE-00003,2026-03-01,2,2,0,11
CT-2023-0001,SITE-00003,2026-05-01,3,2,1,13
CT-2023-0001,SITE-00003,2026-06-01,1,1,0,14
CT-2023-0001,SITE-00004,2026-03-01,2,1,1,1
CT-2023-0001,SITE-00004,2026-04-01,3,2,1,3
CT-2023-0001,SITE-00004,2026-05-01,1,1,0,4
CT-2023-0001,SITE-00004,2026-06-01,2,2,0,6
CT-2023-0001,SITE-00004,2026-07-01,1,1,0,7
CT-2023-0001,SITE-00005,2026-04-01,1,0,1,0
CT-2023-0001,SITE-00005,2026-05-01,2,0,2,0
CT-2023-0001,SITE-00005,2026-06-01,1,1,0,1
CT-2023-0001,SITE-00005,2026-07-01,8,3,5,4
CT-2023-0001,SITE-00006,2026-01-01,2,2,0,2
CT-2023-0001,SITE-00006,2026-03-01,1,1,0,3
CT-2023-0001,SITE-00006,2026-06-01,1,1,0,4
CT-2023-0001,SITE-00007,2026-03-01,3,2,1,2
CT-2023-0001,SITE-00007,2026-05-01,3,2,1,4
CT-2023-0001,SITE-00007,2026-06-01,2,1,1,5
CT-2023-0001,SITE-00007,2026-07-01,3,2,1,7
CT-2023-0001,SITE-00008,2025-12-01,1,0,1,0
CT-2023-0001,SITE-00008,2026-04-01,2,2,0,2
CT-2023-0001,SITE-00008,2026-05-01,1,1,0,3
CT-2023-0001,SITE-00008,2026-07-01,2,1,1,4
CT-2023-0001,SITE-00009,2026-05-01,1,1,0,1
CT-2023-0001,SITE-00010,2025-12-01,1,1,0,1
CT-2023-0001,SITE-00010,2026-03-01,2,1,1,2
CT-2023-0001,SITE-00010,2026-04-01,1,1,0,3
CT-2023-0001,SITE-00010,2026-05-01,1,1,0,4
CT-2023-0001,SITE-00010,2026-06-01,2,2,0,6
CT-2023-0002,SITE-00011,2025-07-01,2,1,1,1
CT-2023-0002,SITE-00011,2025-09-01,1,0,1,1
CT-2023-0002,SITE-00011,2025-11-01,2,1,1,2
CT-2023-0002,SITE-00011,2025-12-01,2,1,1,3
CT-2023-0002,SITE-00011,2026-01-01,1,0,1,3
CT-2023-0002,SITE-00011,2026-02-01,2,0,2,3
CT-2023-0002,SITE-00011,2026-06-01,1,1,0,4
CT-2023-0002,SITE-00012,2025-06-01,1,0,1,0
CT-2023-0002,SITE-00012,2025-10-01,2,1,1,1
CT-2023-0002,SITE-00012,2025-12-01,1,1,0,2
CT-2023-0002,SITE-00012,2026-01-01,4,4,0,6
CT-2023-0002,SITE-00013,2025-07-01,1,1,0,1
CT-2023-0002,SITE-00013,2025-11-01,2,1,1,2
CT-2023-0002,SITE-00013,2025-12-01,1,0,1,2
CT-2023-0002,SITE-00013,2026-01-01,2,1,1,3
CT-2023-0002,SITE-00013,2026-02-01,5,3,2,6
CT-2023-0002,SITE-00013,2026-03-01,1,1,0,7
CT-2023-0002,SITE-00013,2026-04-01,2,1,1,8
CT-2023-0002,SITE-00013,2026-05-01,2,0,2,8
CT-2023-0002,SITE-00014,2025-06-01,4,1,3,1
CT-2023-0002,SITE-00014,2025-08-01,4,1,3,2
CT-2023-0002,SITE-00014,2025-09-01,3,2,1,4
CT-2023-0002,SITE-00014,2025-11-01,3,2,1,6
CT-2023-0002,SITE-00014,2025-12-01,5,4,1,10
CT-2023-0002,SITE-00014,2026-01-01,1,1,0,11
CT-2023-0002,SITE-00015,2025-07-01,3,2,1,2
CT-2023-0002,SITE-00015,2025-09-01,5,3,2,5
CT-2023-0002,SITE-00015,2025-10-01,2,2,0,7
CT-2023-0002,SITE-00015,2025-11-01,2,2,0,9
CT-2023-0002,SITE-00016,2025-08-01,2,1,1,1
CT-2023-0002,SITE-00016,2025-09-01,9,6,3,7
CT-2023-0002,SITE-00016,2025-10-01,4,4,0,11
CT-2023-0002,SITE-00016,2025-11-01,1,1,0,12
CT-2023-0002,SITE-00017,2025-07-01,1,1,0,1
CT-2023-0002,SITE-00017,2025-08-01,1,1,0,2
CT-2023-0002,SITE-00017,2025-09-01,1,1,0,3
CT-2023-0002,SITE-00017,2025-10-01,1,1,0,4
CT-2023-0002,SITE-00017,2025-12-01,1,1,0,5
CT-2023-0002,SITE-00017,2026-01-01,1,1,0,6
CT-2023-0002,SITE-00017,2026-02-01,4,2,2,8
CT-2023-0002,SITE-00017,2026-04-01,1,1,0,9
CT-2023-0002,SITE-00017,2026-06-01,1,1,0,10
CT-2023-0002,SITE-00017,2026-07-01,1,1,0,11
CT-2023-0002,SITE-00018,2025-07-01,1,1,0,1
CT-2023-0002,SITE-00018,2026-01-01,1,0,1,1
CT-2023-0002,SITE-00018,2026-02-01,2,2,0,3
CT-2023-0002,SITE-00018,2026-03-01,2,1,1,4
CT-2023-0002,SITE-00018,2026-05-01,1,1,0,5
CT-2023-0002,SITE-00018,2026-06-01,1,1,0,6
CT-2023-0002,SITE-00019,2025-08-01,1,0,1,0
CT-2023-0002,SITE-00019,2025-09-01,2,1,1,1
CT-2023-0002,SITE-00019,2025-10-01,2,0,2,1
CT-2023-0002,SITE-00019,2025-12-01,1,0,1,1
CT-2023-0002,SITE-00019,2026-02-01,1,1,0,2
CT-2023-0002,SITE-00020,2025-07-01,1,1,0,1
CT-2023-0002,SITE-00020,2025-08-01,2,2,0,3
CT-2023-0002,SITE-00020,2025-09-01,8,5,3,8
CT-2023-0002,SITE-00020,2025-10-01,6,3,3,11
CT-2023-0002,SITE-00020,2025-11-01,2,2,0,13
CT-2023-0002,SITE-00020,2025-12-01,5,3,2,16
CT-2023-0002,SITE-00021,2025-11-01,4,2,2,2
CT-2023-0002,SITE-00021,2025-12-01,2,2,0,4
CT-2023-0002,SITE-00021,2026-01-01,4,2,2,6
CT-2023-0002,SITE-00021,2026-03-01,1,1,0,7
CT-2023-0002,SITE-00021,2026-04-01,3,2,1,9
CT-2023-0002,SITE-00021,2026-05-01,1,1,0,10
CT-2023-0002,SITE-00022,2025-08-01,1,1,0,1
CT-2023-0002,SITE-00022,2025-09-01,1,1,0,2
CT-2023-0002,SITE-00022,2025-11-01,1,1,0,3
CT-2023-0002,SITE-00022,2025-12-01,3,2,1,5
CT-2023-0002,SITE-00022,2026-01-01,3,1,2,6
CT-2023-0002,SITE-00022,2026-02-01,5,3,2,9
CT-2023-0002,SITE-00022,2026-03-01,3,3,0,12
CT-2023-0002,SITE-00022,2026-04-01,4,2,2,14
CT-2023-0002,SITE-00022,2026-05-01,1,1,0,15
CT-2023-0002,SITE-00022,2026-06-01,1,1,0,16
CT-2023-0002,SITE-00023,2025-08-01,1,1,0,1
CT-2023-0002,SITE-00023,2025-12-01,2,1,1,2
CT-2023-0002,SITE-00023,2026-01-01,1,1,0,3
CT-2023-0002,SITE-00023,2026-02-01,2,1,1,4
CT-2023-0002,SITE-00023,2026-04-01,1,1,0,5
CT-2023-0002,SITE-00023,2026-06-01,1,0,1,5
CT-2023-0002,SITE-00024,2025-06-01,2,1,1,1
CT-2023-0002,SITE-00024,2025-10-01,4,3,1,4
CT-2023-0002,SITE-00024,2025-12-01,2,2,0,6
CT-2023-0002,SITE-00024,2026-01-01,1,1,0,7
CT-2023-0002,SITE-00024,2026-06-01,3,2,1,9
CT-2023-0002,SITE-00024,2026-07-01,1,0,1,9
CT-2023-0002,SITE-00025,2025-07-01,2,2,0,2
CT-2023-0002,SITE-00025,2025-09-01,1,1,0,3
CT-2023-0002,SITE-00025,2025-10-01,1,1,0,4
CT-2023-0002,SITE-00025,2025-11-01,1,0,1,4
CT-2023-0002,SITE-00025,2025-12-01,1,0,1,4
CT-2023-0002,SITE-00025,2026-01-01,2,2,0,6
CT-2023-0002,SITE-00026,2025-08-01,1,1,0,1
CT-2023-0002,SITE-00026,2025-09-01,2,0,2,1
CT-2023-0002,SITE-00026,2025-11-01,1,0,1,1
CT-2023-0002,SITE-00026,2025-12-01,1,1,0,2
CT-2023-0002,SITE-00026,2026-01-01,2,2,0,4
CT-2023-0002,SITE-00026,2026-02-01,1,0,1,4
CT-2023-0002,SITE-00026,2026-03-01,1,1,0,5
CT-2023-0002,SITE-00026,2026-04-01,1,0,1,5
CT-2023-0002,SITE-00026,2026-07-01,1,1,0,6
CT-2023-0002,SITE-00027,2025-12-01,3,2,1,2
CT-2023-0002,SITE-00027,2026-02-01,1,1,0,3
CT-2023-0002,SITE-00027,2026-03-01,2,1,1,4
CT-2023-0002,SITE-00027,2026-07-01,2,2,0,6
CT-2023-0003,SITE-00028,2024-12-01,1,0,1,0
CT-2023-0003,SITE-00028,2025-01-01,3,2,1,2
CT-2023-0003,SITE-00028,2025-02-01,2,1,1,3
CT-2023-0003,SITE-00028,2025-03-01,1,1,0,4
CT-2023-0003,SITE-00028,2025-04-01,2,2,0,6
CT-2023-0003,SITE-00028,2025-10-01,1,1,0,7
CT-2023-0003,SITE-00028,2025-11-01,4,2,2,9
CT-2023-0003,SITE-00028,2025-12-01,2,2,0,11
CT-2023-0003,SITE-00029,2024-10-01,5,3,2,3
CT-2023-0003,SITE-00029,2024-11-01,1,0,1,3
CT-2023-0003,SITE-00029,2024-12-01,2,2,0,5
CT-2023-0003,SITE-00029,2025-01-01,5,3,2,8
CT-2023-0003,SITE-00029,2025-02-01,5,3,2,11
CT-2023-0003,SITE-00029,2025-03-01,10,6,4,17
CT-2023-0003,SITE-00030,2025-01-01,1,1,0,1
CT-2023-0003,SITE-00030,2025-04-01,2,1,1,2
CT-2023-0003,SITE-00030,2025-05-01,3,3,0,5
CT-2023-0003,SITE-00030,2025-06-01,3,2,1,7
CT-2023-0003,SITE-00030,2025-07-01,1,1,0,8
CT-2023-0003,SITE-00030,2025-08-01,5,3,2,11
CT-2023-0003,SITE-00030,2025-09-01,10,8,2,19
CT-2023-0003,SITE-00030,2025-10-01,1,1,0,20
CT-2023-0003,SITE-00030,2025-11-01,4,2,2,22
CT-2023-0003,SITE-00031,2024-11-01,2,1,1,1
CT-2023-0003,SITE-00031,2025-01-01,2,1,1,2
CT-2023-0003,SITE-00031,2025-03-01,2,1,1,3
CT-2023-0003,SITE-00031,2025-04-01,3,2,1,5
CT-2023-0003,SITE-00031,2025-05-01,2,2,0,7
CT-2023-0003,SITE-00031,2025-07-01,3,2,1,9
CT-2023-0003,SITE-00031,2025-08-01,2,1,1,10
CT-2023-0003,SITE-00031,2025-09-01,1,1,0,11
CT-2023-0003,SITE-00031,2026-03-01,2,1,1,12
CT-2023-0003,SITE-00031,2026-04-01,2,1,1,13
CT-2023-0003,SITE-00032,2024-12-01,1,1,0,1
CT-2023-0003,SITE-00032,2025-01-01,1,1,0,2
CT-2023-0003,SITE-00032,2025-03-01,2,1,1,3
CT-2023-0003,SITE-00032,2025-04-01,3,2,1,5
CT-2023-0003,SITE-00032,2025-07-01,4,3,1,8
CT-2023-0003,SITE-00032,2025-08-01,3,2,1,10
CT-2023-0003,SITE-00032,2025-09-01,1,1,0,11
CT-2023-0003,SITE-00032,2025-10-01,2,2,0,13
CT-2023-0003,SITE-00032,2025-11-01,1,1,0,14
CT-2023-0003,SITE-00032,2025-12-01,2,2,0,16
CT-2023-0003,SITE-00032,2026-03-01,4,2,2,18
CT-2023-0003,SITE-00032,2026-04-01,1,0,1,18
CT-2023-0003,SITE-00032,2026-06-01,1,1,0,19
CT-2023-0003,SITE-00033,2024-11-01,1,1,0,1
CT-2023-0003,SITE-00033,2024-12-01,1,1,0,2
CT-2023-0003,SITE-00033,2025-01-01,3,2,1,4
CT-2023-0003,SITE-00033,2025-04-01,2,2,0,6
CT-2023-0003,SITE-00033,2025-05-01,1,1,0,7
CT-2023-0003,SITE-00033,2025-06-01,3,2,1,9
CT-2023-0003,SITE-00033,2025-08-01,8,3,5,12
CT-2023-0003,SITE-00033,2025-09-01,1,1,0,13
CT-2023-0003,SITE-00033,2025-10-01,3,1,2,14
CT-2023-0003,SITE-00033,2026-01-01,4,2,2,16
CT-2023-0003,SITE-00033,2026-02-01,1,1,0,17
CT-2023-0003,SITE-00034,2025-01-01,1,1,0,1
CT-2023-0003,SITE-00034,2025-02-01,1,1,0,2
CT-2023-0003,SITE-00034,2025-04-01,1,1,0,3
CT-2023-0003,SITE-00034,2025-05-01,7,6,1,9
CT-2023-0003,SITE-00034,2025-06-01,1,1,0,10
CT-2023-0003,SITE-00034,2025-07-01,5,3,2,13
CT-2023-0003,SITE-00034,2025-08-01,2,1,1,14
CT-2023-0003,SITE-00034,2025-09-01,1,1,0,15
CT-2023-0003,SITE-00034,2025-10-01,1,1,0,16
CT-2023-0003,SITE-00034,2025-11-01,4,4,0,20
CT-2023-0003,SITE-00034,2025-12-01,3,1,2,21
CT-2023-0003,SITE-00034,2026-01-01,1,0,1,21
CT-2023-0003,SITE-00034,2026-03-01,2,1,1,22
CT-2023-0003,SITE-00035,2025-01-01,2,2,0,2
CT-2023-0003,SITE-00035,2025-03-01,7,4,3,6
CT-2023-0003,SITE-00035,2025-04-01,6,5,1,11
CT-2023-0003,SITE-00035,2025-05-01,3,2,1,13
CT-2023-0003,SITE-00035,2025-06-01,3,3,0,16
CT-2023-0003,SITE-00035,2025-07-01,1,1,0,17
CT-2023-0003,SITE-00035,2025-09-01,2,1,1,18
