site_id,study_id,site_name,country,principal_investigator,planned_activation_date,actual_activation_date,target_enrollment,actual_enrollment,site_status
SITE-00001,CT-2023-0001,North Judithbury Medical Center,South Korea,Dr. Walker,2025-12-21,2026-01-25,14,11,Enrolling
SITE-00002,CT-2023-0001,Lake Joyside Specialty Clinic,Czech Republic,Dr. Miller,2025-10-18,2025-11-02,9,9,Enrollment Complete
SITE-00003,CT-2023-0001,Johnsonland University Medical Faculty,South Korea,Dr. Robinson,2025-10-22,2025-10-28,14,14,Enrollment Complete
SITE-00004,CT-2023-0001,New Jamesside Medical Center,South Korea,Dr. Barnes,2025-11-07,2025-11-26,8,7,Enrolling
SITE-00005,CT-2023-0001,Lawrencetown Specialty Clinic,South Korea,Dr. Blake,2026-01-14,2026-01-14,9,4,Enrolling
SITE-00006,CT-2023-0001,Lake Roberto Specialty Clinic,France,Dr. Ramirez,2026-01-03,2026-01-07,5,4,Enrolling
SITE-00007,CT-2023-0001,Port Matthew Specialty Clinic,South Korea,Dr. Davis,2026-01-10,2026-03-04,10,7,Enrolling
SITE-00008,CT-2023-0001,West Melanieview Memorial Hospital,France,Dr. Roman,2025-11-21,2025-12-21,11,4,Enrolling
SITE-00009,CT-2023-0001,Herrerafurt University Hospital,France,Dr. Miller,2025-12-31,2025-12-24,6,1,Enrolling
SITE-00010,CT-2023-0001,Mariastad Regional Clinical Institute,Czech Republic,Dr. Ray,2025-11-22,2025-12-18,9,6,Enrolling
SITE-00011,CT-2023-0002,North Donnaport University Medical Faculty,South Korea,Dr. Galloway,2025-06-13,2025-07-23,5,4,Enrolling
SITE-00012,CT-2023-0002,Port Craig Clinical Research Center,South Korea,Dr. Ramirez,2025-06-01,2025-06-01,6,6,Enrollment Complete
SITE-00013,CT-2023-0002,Franciscostad University Hospital,Netherlands,Dr. Clark,2025-05-25,2025-06-17,10,8,Enrolling
SITE-00014,CT-2023-0002,Jacquelineland Specialty Clinic,Netherlands,Dr. Lynch,2025-05-30,2025-06-29,11,11,Enrollment Complete
SITE-00015,CT-2023-0002,New Jessica University Medical Faculty,South Korea,Dr. Martin,2025-07-03,2025-07-12,9,9,Enrollment Complete
SITE-00016,CT-2023-0002,Nelsonside Health Network,South Korea,Dr. Robinson,2025-07-16,2025-07-07,12,12,Enrollment Complete
SITE-00017,CT-2023-0002,Meganton Clinical Research Center,Italy,Dr. Perez,2025-05-26,2025-07-08,11,11,Enrollment Complete
SITE-00018,CT-2023-0002,Port Leslieview Medical Center,France,Dr. Jones,2025-08-07,2025-07-25,12,6,Enrolling
SITE-00019,CT-2023-0002,Jasonfort General Hospital,South Korea,Dr. Foster,2025-06-05,2025-06-23,5,2,Enrolling
SITE-00020,CT-2023-0002,Thomasberg Medical Center,Netherlands,Dr. Wright,2025-07-13,2025-07-15,16,16,Enrollment Complete
SITE-00021,CT-2023-0002,Juliechester Medical Center,Italy,Dr. Hurst,2025-07-12,2025-08-27,10,10,Enrollment Complete
SITE-00022,CT-2023-0002,Coxberg Memorial Hospital,Germany,Dr. Hicks,2025-07-10,2025-07-01,16,16,Enrollment Complete
SITE-00023,CT-2023-0002,Port Brandonville Clinical Research Center,Netherlands,Dr. Hernandez,2025-06-25,2025-07-15,6,5,Enrolling
SITE-00024,CT-2023-0002,Port Erin Clinical Research Center,South Korea,Dr. Carlson,2025-06-19,2025-06-21,14,9,Enrolling
SITE-00025,CT-2023-0002,Jamesmouth Health Network,Germany,Dr. Rice,2025-05-24,2025-05-27,6,6,Enrollment Complete
SITE-00026,CT-2023-0002,Lake Jenniferside Medical Center,Netherlands,Dr. Potter,2025-07-23,2025-08-23,12,6,Enrolling
SITE-00027,CT-2023-0002,Danielchester Regional Clinical Institute,Netherlands,Dr. Moore,2025-08-08,2025-09-08,8,6,Enrolling
SITE-00028,CT-2023-0003,Lake Nancyview University Hospital,South Africa,Dr. Stanton,2024-10-28,2024-11-19,13,11,Enrolling
SITE-00029,CT-2023-0003,New Rita University Medical Faculty,Italy,Dr. Harrell,2024-10-10,2024-10-13,17,17,Enrollment Complete
SITE-00030,CT-2023-0003,Meaganhaven General Hospital,South Africa,Dr. Lynch,2024-12-10,2025-01-21,22,22,Enrollment Complete
SITE-00031,CT-2023-0003,West Kathryn Clinical Research Center,United States,Dr. Ryan,2024-11-27,2024-10-19,16,13,Enrolling
SITE-00032,CT-2023-0003,New Mariotown Memorial Hospital,South Africa,Dr. Rodriguez,2024-11-19,2024-12-24,20,19,Enrolling
SITE-00033,CT-2023-0003,Natashaport Memorial Hospital,Spain,Dr. Allen,2024-11-08,2024-11-21,17,17,Enrollment Complete
SITE-00034,CT-2023-0003,New Stacey Regional Clinical Institute,Germany,Dr. Miller,2024-11-20,2024-12-08,22,22,Enrollment Complete
SITE-00035,CT-2023-0003,Cabreraside Specialty Clinic,South Africa,Dr. Cannon,2024-12-05,2025-01-16,19,19,Enrollment Complete
SITE-00036,CT-2023-0003,Lake Thomas University Medical Faculty,Canada,Dr. Pierce,2024-11-07,2024-11-17,18,17,Enrolling
SITE-00037,CT-2023-0003,Allisonchester University Medical Faculty,Netherlands,Dr. Brandt,2024-12-28,2025-01-31,9,9,Enrollment Complete
SITE-00038,CT-2023-0003,Lake Larry Regional Clinical Institute,Poland,Dr. Carney,2024-10-16,2024-11-12,10,8,Enrolling
SITE-00039,CT-2023-0003,Samuelhaven Medical Center,Canada,Dr. Hayes,2024-09-30,2024-10-11,10,10,Enrollment Complete
SITE-00040,CT-2023-0003,East Caleb Medical Center,Italy,Dr. Smith,2024-10-07,2024-10-21,21,21,Enrollment Complete
SITE-00041,CT-2023-0003,New Jeffrey Regional Clinical Institute,Germany,Dr. Jones,2024-10-24,2024-10-27,17,17,Enrollment Complete
SITE-00042,CT-2023-0003,East Carloston University Medical Faculty,Italy,Dr. Heath,2024-10-08,2024-10-28,24,24,Enrollment Complete
SITE-00043,CT-2023-0003,New Johnfort University Medical Faculty,South Korea,Dr. Lewis,2024-09-30,2024-09-04,18,17,Enrolling
SITE-00044,CT-2023-0003,Lake Selena Memorial Hospital,Spain,Dr. Duncan,2024-10-26,2024-11-19,21,21,Enrollment Complete
SITE-00045,CT-2023-0003,Sanchezfort Specialty Clinic,Canada,Dr. Aguirre,2024-10-24,2024-11-22,27,27,Enrollment Complete
SITE-00046,CT-2023-0003,North Collin University Hospital,Netherlands,Dr. Jordan,2024-10-04,2024-10-14,12,9,Enrolling
SITE-00047,CT-2023-0003,Jenkinston Medical Center,France,Dr. Nunez,2024-12-25,2024-12-23,25,25,Enrollment Complete
SITE-00048,CT-2023-0003,North Richardmouth Specialty Clinic,France,Dr. Mcbride,2024-10-23,2024-11-12,27,27,Enrollment Complete
SITE-00049,CT-2023-0003,East Jamesside Clinical Research Center,Italy,Dr. West,2024-11-23,2024-12-09,27,27,Enrollment Complete
SITE-00050,CT-2023-0003,Whitemouth University Medical Faculty,Germany,Dr. Wright,2024-12-28,2025-01-10,17,12,Enrolling
SITE-00051,CT-2023-0003,South Lindseyside University Hospital,Germany,Dr. Garcia,2024-12-14,2024-12-30,14,14,Enrollment Complete
SITE-00052,CT-2023-0003,North Sarabury Health Network,United States,Dr. Martin,2024-12-13,2024-12-19,28,21,Enrolling
SITE-00053,CT-2023-0003,Olsonfurt Regional Clinical Institute,United States,Dr. Barrera,2024-12-13,2024-12-25,25,23,Enrolling
SITE-00054,CT-2023-0003,South Aaron Medical Center,Canada,Dr. Myers,2024-11-25,2024-12-11,21,21,Enrollment Complete
SITE-00055,CT-2023-0003,Mitchellside Health Network,Netherlands,Dr. Stanley,2024-11-16,2024-11-02,14,14,Enrollment Complete
SITE-00056,CT-2023-0003,Mooreport Specialty Clinic,Netherlands,Dr. Robinson,2024-11-15,2024-12-03,27,27,Enrollment Complete
SITE-00057,CT-2023-0003,New Jillton Regional Clinical Institute,South Korea,Dr. Adkins,2024-11-10,2024-11-24,21,21,Enrollment Complete
SITE-00058,CT-2023-0003,North Breannahaven Regional Clinical Institute,Spain,Dr. Calhoun,2024-12-06,2024-12-18,17,17,Enrollment Complete
SITE-00059,CT-2023-0003,North Susan Specialty Clinic,Canada,Dr. Miller,2024-10-24,2024-11-30,19,19,Enrollment Complete
SITE-00060,CT-2023-0003,North Brooke Clinical Research Center,United States,Dr. Leonard,2024-10-03,2024-10-28,24,24,Enrollment Complete
SITE-00061,CT-2023-0003,South David Medical Center,Canada,Dr. Zamora,2024-10-25,2024-11-04,14,14,Enrollment Complete
SITE-00062,CT-2023-0003,New Brooke Health Network,United States,Dr. Harvey,2024-09-30,2024-10-10,20,20,Enrollment Complete
SITE-00063,CT-2023-0003,Sandovalshire General Hospital,South Africa,Dr. Mills,2024-12-25,2025-01-11,11,11,Enrollment Complete
SITE-00064,CT-2023-0003,Jamesmouth Medical Center,Netherlands,Dr. Allen,2024-12-19,2025-01-03,27,27,Enrollment Complete
SITE-00065,CT-2023-0003,Andersonport Memorial Hospital,Japan,Dr. Bryant,2024-11-20,2024-12-25,22,22,Enrollment Complete
SITE-00066,CT-2023-0003,North Stephenshire Specialty Clinic,Italy,Dr. Ferrell,2024-11-17,2024-12-10,19,19,Enrollment Complete
SITE-00067,CT-2023-0003,New Jasonview Regional Clinical Institute,Italy,Dr. Anderson,2024-12-17,2025-01-13,14,11,Enrolling
SITE-00068,CT-2023-0004,Nicolebury General Hospital,France,Dr. Wood,2024-06-08,2024-06-15,15,15,Enrollment Complete
SITE-00069,CT-2023-0004,South Martha University Medical Faculty,Poland,Dr. Warner,2024-07-05,2024-08-26,8,8,Enrollment Complete
SITE-00070,CT-2023-0004,Lake Lisaport Clinical Research Center,France,Dr. Huynh,2024-05-28,2024-07-04,16,16,Enrollment Complete
SITE-00071,CT-2023-0004,East Josephville Specialty Clinic,South Korea,Dr. Newton,2024-05-10,2024-05-12,9,9,Enrollment Complete
SITE-00072,CT-2023-0004,West Juan General Hospital,South Korea,Dr. Clark,2024-05-05,2024-04-30,12,12,Enrollment Complete
SITE-00073,CT-2023-0004,Jamesview Clinical Research Center,Spain,Dr. Wagner,2024-07-06,2024-06-24,7,4,Enrollment Closed
SITE-00074,CT-2023-0004,Rebeccaton Specialty Clinic,Italy,Dr. Davis,2024-06-17,2024-07-02,11,11,Enrollment Complete
SITE-00075,CT-2023-0004,Calderonton General Hospital,Spain,Dr. Smith,2024-06-28,2024-08-04,10,10,Enrollment Complete
SITE-00076,CT-2023-0004,Lake Tina University Hospital,Italy,Dr. Martin,2024-06-17,2024-07-13,10,9,Enrollment Closed
SITE-00077,CT-2023-0004,Arnoldchester University Hospital,Spain,Dr. Hoffman,2024-07-09,2024-06-26,10,10,Enrollment Complete
SITE-00078,CT-2023-0004,North Sierraberg Medical Center,France,Dr. Gardner,2024-05-03,2024-06-09,16,16,Enrollment Complete
SITE-00079,CT-2023-0004,Brandiberg Health Network,Australia,Dr. Jordan,2024-05-05,2024-04-20,15,15,Enrollment Complete
SITE-00080,CT-2023-0004,West Michaelton General Hospital,Poland,Dr. Nolan,2024-06-28,2024-07-25,17,17,Enrollment Complete
SITE-00081,CT-2023-0004,Lake John Memorial Hospital,Australia,Dr. Garcia,2024-06-23,2024-06-20,12,12,Enrollment Complete
SITE-00082,CT-2023-0004,Dicksonberg Memorial Hospital,Spain,Dr. Frost,2024-04-18,2024-05-31,10,7,Enrollment Closed
SITE-00083,CT-2023-0004,Port Francisco General Hospital,Poland,Dr. Marsh,2024-04-19,2024-04-27,14,14,Enrollment Complete
SITE-00084,CT-2023-0004,South Angel University Medical Faculty,Italy,Dr. Doyle,2024-04-19,2024-05-13,15,15,Enrollment Complete
SITE-00085,CT-2023-0004,Kimberlychester University Medical Faculty,South Korea,Dr. Pham,2024-05-15,2024-06-12,20,20,Enrollment Complete
SITE-00086,CT-2023-0004,West Erik University Hospital,South Korea,Dr. Haynes,2024-06-29,2024-07-08,18,18,Enrollment Complete
SITE-00087,CT-2023-0004,Brennanfort Medical Center,Poland,Dr. Walker,2024-05-08,2024-05-08,7,7,Enrollment Complete
SITE-00088,CT-2023-0005,Baileybury General Hospital,Netherlands,Dr. Walker,2023-07-12,2023-05-30,5,3,Enrollment Closed
SITE-00089,CT-2023-0005,South Mark Specialty Clinic,Canada,Dr. Lin,2023-08-21,2023-10-16,4,4,Enrollment Complete
SITE-00090,CT-2023-0005,Michaelhaven University Medical Faculty,Canada,Dr. Ross,2023-07-22,2023-09-08,8,8,Enrollment Complete
SITE-00091,CT-2023-0005,Sheilaville Memorial Hospital,Canada,Dr. Wiley,2023-07-27,2023-09-17,9,9,Enrollment Complete
SITE-00092,CT-2023-0006,Gregoryview Specialty Clinic,Netherlands,Dr. Johnson,2025-01-22,2025-01-29,16,16,Enrollment Complete
SITE-00093,CT-2023-0006,Reedmouth Specialty Clinic,Czech Republic,Dr. Graham,2025-02-14,2025-02-26,13,13,Enrollment Complete
SITE-00094,CT-2023-0006,South Rachelborough Medical Center,Netherlands,Dr. Scott,2025-01-21,2025-02-24,14,14,Enrollment Complete
SITE-00095,CT-2023-0006,Smithside General Hospital,Netherlands,Dr. Mcdaniel,2025-02-14,2025-03-13,6,6,Enrollment Complete
SITE-00096,CT-2023-0006,West Ryan Memorial Hospital,Czech Republic,Dr. Rush,2024-12-13,2024-12-20,17,15,Enrollment Closed
SITE-00097,CT-2023-0007,Cindyville Health Network,Belgium,Dr. Cortez,2024-11-17,2024-11-11,22,22,Enrollment Complete
SITE-00098,CT-2023-0007,Williamchester Memorial Hospital,Belgium,Dr. Nguyen,2024-10-24,2024-11-06,33,33,Enrollment Complete
SITE-00099,CT-2023-0007,Angelaborough Specialty Clinic,Czech Republic,Dr. Fisher,2024-11-04,2024-10-25,25,25,Enrollment Complete
SITE-00100,CT-2023-0007,Byrdburgh Memorial Hospital,Germany,Dr. Gilbert,2024-12-05,2024-12-13,36,36,Enrollment Complete
SITE-00101,CT-2023-0007,Richardtown Health Network,Netherlands,Dr. Torres,2024-12-07,2024-12-17,13,13,Enrollment Complete
SITE-00102,CT-2023-0007,South Kristi University Hospital,Czech Republic,Dr. Lawson,2025-01-03,2025-01-19,26,26,Enrollment Complete
